recency,frequency,monetary_value,r_score,f_score,m_score,rfm_class,total_score,customer_title,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_class,address,postcode,state,country,property_valuation,customer_segment
7.0,11,3018.09,1,1,3,113,5,silver,Female,93,1953-10-12,Health,Mass Customer,1,11.0,68.64072246621784,70,060 Morning Avenue,2016,NSW,Australia,10,Becoming Loyal
128.0,3,2226.26,4,4,2,442,10,basic,Male,81,1980-12-16,Financial Services,Mass Customer,1,16.0,41.46151960784293,40,6 Meadow Vale Court,2153,NSW,Australia,10,Losing
195.0,2,220.57,4,4,4,444,12,basic,Male,33,1961-10-03,IT,Mass Customer,0,7.0,60.66519935486032,60,0 Holy Cross Court,4211,QLD,Australia,9,Lost
64.0,5,3946.55,3,2,3,323,8,basic,Male,35,1966-09-16,Retail,High Net Worth,1,13.0,55.71232557921811,60,9 Oakridge Court,3216,VIC,Australia,9,High Risk
253.0,3,220.10999999999999,4,4,4,444,12,basic,Female,6,1976-02-23,Financial Services,Affluent Customer,1,11.0,46.274760126128726,50,4 Delaware Trail,2210,NSW,Australia,9,Lost
78.0,6,2353.11,3,3,2,332,8,basic,Female,97,1973-03-10,Argiculture,Affluent Customer,1,8.0,49.23169969367631,50,97736 7th Trail,2023,NSW,Australia,12,High Risk
46.0,5,3091.5600000000004,3,2,3,323,8,basic,Male,99,1954-04-30,Property,Mass Customer,0,9.0,68.09314106482014,70,93405 Ludington Park,3044,VIC,Australia,8,High Risk
67.0,7,3540.03,3,3,3,333,9,basic,Male,58,1994-07-21,Manufacturing,Mass Customer,0,8.0,27.867811318144984,30,44339 Golden Leaf Alley,4557,QLD,Australia,4,Evasive
27.0,7,4337.38,2,3,1,231,6,bronze,Male,38,1955-02-15,Financial Services,High Net Worth,1,8.0,67.29641012578648,70,2 Sutherland Street,3799,VIC,Australia,6,Recent
47.0,3,1713.9,3,4,4,344,11,basic,Female,85,1983-03-25,Financial Services,Affluent Customer,0,6.0,39.19179469904945,40,9 Mcbride Trail,2760,NSW,Australia,8,Inactive
35.0,6,1728.3900000000003,2,3,4,234,9,bronze,Male,91,2000-07-13,Manufacturing,Mass Customer,0,1.0,21.888222414882083,20,9861 New Castle Avenue,2428,NSW,Australia,9,Evasive
280.0,2,1736.45,4,4,4,444,12,basic,Female,76,2001-04-15,Manufacturing,High Net Worth,0,1.0,21.132560080953255,20,59 Spaight Circle,2233,NSW,Australia,9,Lost
31.0,4,3608.2799999999997,2,4,3,243,9,bronze,Male,72,1980-08-13,Manufacturing,Mass Customer,0,11.0,41.803757983716494,40,032 Bartelt Crossing,2444,NSW,Australia,8,Evasive
6.0,5,4229.41,1,2,1,121,4,silver,Male,74,1980-09-20,Manufacturing,Affluent Customer,1,16.0,41.69971751745093,40,18 Jenna Center,2650,NSW,Australia,7,Very Loyal
17.0,7,3689.3499999999995,1,3,3,133,7,silver,Female,55,1977-12-03,Argiculture,Mass Customer,1,15.0,44.49785847859318,40,3 Cordelia Plaza,2153,NSW,Australia,10,Average
5.0,12,5333.66,1,1,1,111,3,gold,Male,72,1976-12-02,Financial Services,Mass Customer,1,21.0,45.499932443150975,50,28 5th Center,4413,QLD,Australia,3,Platinum
259.0,2,268.2399999999999,4,4,4,444,12,basic,Female,12,1978-06-10,Financial Services,Mass Customer,1,16.0,43.98039405427235,40,52 Carey Alley,4740,QLD,Australia,5,Lost
143.0,7,3274.2500000000005,4,3,3,433,10,basic,Male,37,1978-09-25,Health,Mass Customer,1,12.0,43.68743800452459,40,96 Texas Plaza,3218,VIC,Australia,7,Losing
83.0,6,3366.5600000000004,3,3,3,333,9,basic,Male,5,1973-09-30,Health,Affluent Customer,1,21.0,48.67316666425066,50,48 Eagan Avenue,4868,QLD,Australia,4,Evasive
22.0,9,6175.3,2,1,1,211,4,bronze,Female,62,1968-06-22,Manufacturing,Mass Customer,0,19.0,53.946375559710525,50,9 Buell Park,4116,QLD,Australia,7,Very Loyal
11.0,3,2633.95,1,4,2,142,7,silver,Male,18,1961-10-18,IT,Affluent Customer,1,6.0,60.624130749755494,60,02663 Buell Parkway,2519,NSW,Australia,11,Average
89.0,4,426.10999999999996,4,4,4,444,12,basic,Female,3,1962-11-24,Telecommunications,High Net Worth,1,14.0,59.52349213294611,60,2294 Pleasure Place,2135,NSW,Australia,12,Lost
138.0,7,2823.12,4,3,3,433,10,basic,Female,17,1995-04-20,Manufacturing,Affluent Customer,0,4.0,27.12036270523712,30,2951 Petterle Place,2756,NSW,Australia,9,Losing
92.0,4,3706.5099999999998,4,4,3,443,11,basic,Female,40,1963-09-28,Health,High Net Worth,1,16.0,58.68021677479365,60,34 Russell Plaza,4127,QLD,Australia,6,Inactive
7.0,9,6338.489999999999,1,1,1,111,3,gold,Female,46,1985-12-22,Health,High Net Worth,0,16.0,36.44567397103998,40,54 Sage Plaza,4726,QLD,Australia,1,Platinum
50.0,4,2025.34,3,4,2,342,9,basic,Female,37,1955-10-29,Financial Services,Affluent Customer,0,20.0,66.59550593199742,70,90 Lawn Parkway,4805,QLD,Australia,4,Evasive
34.0,12,6085.17,2,1,1,211,4,bronze,Male,5,1979-04-16,Entertainment,Mass Customer,0,22.0,43.131642882105915,40,38726 Ilene Crossing,2212,NSW,Australia,10,Very Loyal
14.0,5,3272.7,1,2,3,123,6,silver,Female,91,1981-10-27,Manufacturing,Affluent Customer,0,14.0,40.599078900641544,40,3496 Brown Drive,2207,NSW,Australia,8,Recent
29.0,9,4698.89,2,1,1,211,4,bronze,Male,64,1976-04-14,Health,Mass Customer,0,16.0,46.13512686877231,50,7188 Cody Way,3350,VIC,Australia,9,Very Loyal
111.0,4,427.04,4,4,4,444,12,basic,Female,24,1977-03-28,Manufacturing,Mass Customer,0,18.0,45.18233523034031,50,1 Claremont Park,3931,VIC,Australia,10,Lost
61.0,9,3619.9499999999994,3,1,3,313,7,basic,Female,38,1983-03-01,Retail,Mass Customer,0,5.0,39.25750446721718,40,60 Eagan Circle,4018,QLD,Australia,8,Average
35.0,7,4768.28,2,3,1,231,6,bronze,Male,63,1981-10-18,Entertainment,Affluent Customer,1,17.0,40.62372006370445,40,89314 Eagle Crest Center,4670,QLD,Australia,2,Recent
43.0,3,1048.1499999999999,2,4,4,244,10,bronze,Male,64,1975-09-23,Financial Services,Mass Customer,0,8.0,46.693659898197964,50,2028 Lakewood Place,2480,NSW,Australia,3,Losing
35.0,7,4332.1900000000005,2,3,1,231,6,bronze,Male,51,1992-10-22,Health,Affluent Customer,0,2.0,29.61185808159666,30,543 Killdeer Park,2322,NSW,Australia,4,Recent
