recency,frequency,monetary_value,r_score,f_score,m_score,rfm_class,total_score,customer_title,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_class,address,postcode,state,country,property_valuation,customer_segment
1.0,10,8256.08,1,1,1,111,3,gold,Male,35,1993-09-27,Health,Mass Customer,1,8.0,28.68096969922057,30,42554 Burrows Court,2117,NSW,Australia,10,Platinum
6.0,9,4790.82,1,1,1,111,3,gold,Male,98,1973-12-28,Property,Affluent Customer,1,12.0,48.42949294062868,50,91933 Artisan Avenue,2753,NSW,Australia,9,Platinum
2.0,11,4242.34,1,1,1,111,3,gold,Female,41,1956-04-08,Property,Mass Customer,1,19.0,66.15196499686529,70,8 Pawling Alley,3930,VIC,Australia,8,Platinum
2.0,8,4543.18,1,1,1,111,3,gold,Male,80,1997-01-03,Manufacturing,Mass Customer,0,1.0,25.41190873287629,30,35 Harbort Way,2446,NSW,Australia,8,Platinum
1.0,8,4253.77,1,1,1,111,3,gold,Female,95,1990-01-01,Property,High Net Worth,1,16.0,32.41821276375988,30,26064 Morningstar Junction,2480,NSW,Australia,2,Platinum
10.0,8,4886.13,1,1,1,111,3,gold,Male,46,1997-07-19,Retail,Mass Customer,1,1.0,24.872541052499557,20,16 Hansons Hill,2454,NSW,Australia,7,Platinum
18.0,8,6401.83,1,1,1,111,3,gold,Female,16,1985-02-02,Financial Services,High Net Worth,1,22.0,37.33001793429727,40,7518 Canary Parkway,2145,NSW,Australia,9,Platinum
1.0,9,4281.08,1,1,1,111,3,gold,Female,40,1968-11-05,Manufacturing,Mass Customer,1,19.0,53.57402020676008,50,2800 Dottie Trail,3071,VIC,Australia,10,Platinum
17.0,8,4766.82,1,1,1,111,3,gold,Male,47,1967-04-23,Entertainment,High Net Worth,1,16.0,55.11272394468762,60,3 Declaration Circle,4350,QLD,Australia,7,Platinum
8.0,14,6513.300000000001,1,1,1,111,3,gold,Female,61,1972-02-07,Manufacturing,Mass Customer,1,7.0,50.31864877545075,50,8142 Tomscot Drive,4132,QLD,Australia,4,Platinum
